1192,189
block.minecraft.cyan_stained_glass,tile.stainedGlass.cyan.name
block.minecraft.purple_stained_glass,tile.stainedGlass.purple.name
block.minecraft.blue_stained_glass,tile.stainedGlass.blue.name
block.minecraft.brown_stained_glass,tile.stainedGlass.brown.name
block.minecraft.green_stained_glass,tile.stainedGlass.green.name
block.minecraft.red_stained_glass,tile.stainedGlass.red.name
block.minecraft.black_stained_glass,tile.stainedGlass.black.name
block.minecraft.white_wool,tile.cloth.white.name
block.minecraft.orange_wool,tile.cloth.orange.name
block.minecraft.magenta_wool,tile.cloth.magenta.name
block.minecraft.light_blue_wool,tile.cloth.lightBlue.name
block.minecraft.yellow_wool,tile.cloth.yellow.name
block.minecraft.lime_wool,tile.cloth.lime.name
block.minecraft.pink_wool,tile.cloth.pink.name
block.minecraft.gray_wool,tile.cloth.gray.name
block.minecraft.light_gray_wool,tile.cloth.silver.name
block.minecraft.cyan_wool,tile.cloth.cyan.name
block.minecraft.purple_wool,tile.cloth.purple.name
block.minecraft.blue_wool,tile.cloth.blue.name
block.minecraft.brown_wool,tile.cloth.brown.name
block.minecraft.green_wool,tile.cloth.green.name
block.minecraft.red_wool,tile.cloth.red.name
block.minecraft.black_wool,tile.cloth.black.name
block.minecraft.white_terracotta,tile.clayHardenedStained.white.name
block.minecraft.orange_terracotta,tile.clayHardenedStained.orange.name
block.minecraft.magenta_terracotta,tile.clayHardenedStained.magenta.name
block.minecraft.light_blue_terracotta,tile.clayHardenedStained.lightBlue.name
block.minecraft.yellow_terracotta,tile.clayHardenedStained.yellow.name
block.minecraft.lime_terracotta,tile.clayHardenedStained.lime.name
block.minecraft.pink_terracotta,tile.clayHardenedStained.pink.name
block.minecraft.gray_terracotta,tile.clayHardenedStained.gray.name
block.minecraft.light_gray_terracotta,tile.clayHardenedStained.silver.name
block.minecraft.cyan_terracotta,tile.clayHardenedStained.cyan.name
block.minecraft.purple_terracotta,tile.clayHardenedStained.purple.name
block.minecraft.blue_terracotta,tile.clayHardenedStained.blue.name
block.minecraft.brown_terracotta,tile.clayHardenedStained.brown.name
block.minecraft.green_terracotta,tile.clayHardenedStained.green.name
block.minecraft.red_terracotta,tile.clayHardenedStained.red.name
block.minecraft.black_terracotta,tile.clayHardenedStained.black.name
block.minecraft.terracotta,tile.clayHardenedStained.name
block.minecraft.sandstone,tile.sandStone.name
block.minecraft.chiseled_sandstone,tile.sandStone.chiseled.name
block.minecraft.smooth_sandstone,tile.sandStone.smooth.name
item.minecraft.wooden_sword,item.swordWood.name
item.minecraft.wooden_axe,item.hatchetWood.name
item.minecraft.wooden_pickaxe,item.pickaxeWood.name
item.minecraft.wooden_shovel,item.shovelWood.name
item.minecraft.wooden_hoe,item.hoeWood.name
item.minecraft.stone_sword,item.swordStone.name
item.minecraft.stone_axe,item.hatchetStone.name
item.minecraft.stone_pickaxe,item.pickaxeStone.name
item.minecraft.stone_shovel,item.shovelStone.name
item.minecraft.stone_hoe,item.hoeStone.name
item.minecraft.iron_sword,item.swordIron.name
item.minecraft.iron_axe,item.hatchetIron.name
item.minecraft.iron_pickaxe,item.pickaxeIron.name
item.minecraft.iron_shovel,item.shovelIron.name
item.minecraft.iron_hoe,item.hoeIron.name
item.minecraft.golden_sword,item.swordGold.name
item.minecraft.golden_axe,item.hatchetGold.name
item.minecraft.golden_pickaxe,item.pickaxeGold.name
item.minecraft.golden_shovel,item.shovelGold.name
item.minecraft.golden_hoe,item.hoeGold.name
item.minecraft.diamond_sword,item.swordDiamond.name
item.minecraft.diamond_axe,item.hatchetDiamond.name
item.minecraft.diamond_pickaxe,item.pickaxeDiamond.name
item.minecraft.diamond_shovel,item.shovelDiamond.name
item.minecraft.diamond_hoe,item.hoeDiamond.name
item.minecraft.flint_and_steel,item.flintAndSteel.name
item.minecraft.compass,item.compass.name
item.minecraft.fishing_rod,item.fishingRod.name
item.minecraft.clock,item.clock.name
item.minecraft.shears,item.shears.name
item.minecraft.lead,item.leash.name
item.minecraft.name_tag,item.nameTag.name
item.minecraft.bow,item.bow.name
item.minecraft.arrow,item.arrow.name
item.minecraft.leather_helmet,item.helmetCloth.name
item.minecraft.leather_chestplate,item.chestplateCloth.name
item.minecraft.leather_leggings,item.leggingsCloth.name
item.minecraft.leather_boots,item.bootsCloth.name
item.minecraft.chainmail_helmet,item.helmetChain.name
item.minecraft.chainmail_chestplate,item.chestplateChain.name
item.minecraft.chainmail_leggings,item.leggingsChain.name
item.minecraft.chainmail_boots,item.bootsChain.name
item.minecraft.iron_helmet,item.helmetIron.name
item.minecraft.iron_chestplate,item.chestplateIron.name
item.minecraft.iron_leggings,item.leggingsIron.name
item.minecraft.iron_boots,item.bootsIron.name
item.minecraft.golden_helmet,item.helmetGold.name
item.minecraft.golden_chestplate,item.chestplateGold.name
item.minecraft.golden_leggings,item.leggingsGold.name
item.minecraft.golden_boots,item.bootsGold.name
item.minecraft.diamond_helmet,item.helmetDiamond.name
item.minecraft.diamond_chestplate,item.chestplateDiamond.name
item.minecraft.diamond_leggings,item.leggingsDiamond.name
item.minecraft.diamond_boots,item.bootsDiamond.name
item.minecraft.apple,item.apple.name
item.minecraft.golden_apple,item.appleGold.name
item.minecraft.enchanted_golden_apple,item.appleGold.name
item.minecraft.mushroom_stew,item.mushroomStew.name
item.minecraft.rabbit_stew,item.rabbitStew.name
item.minecraft.bread,item.bread.name
item.minecraft.porkchop,item.porkchopRaw.name
item.minecraft.cooked_porkchop,item.porkchopCooked.name
item.minecraft.cod,item.fish.cod.raw.name
item.minecraft.cooked_cod,item.fish.cod.cooked.name
item.minecraft.salmon,item.fish.salmon.raw.name
item.minecraft.cooked_salmon,item.fish.salmon.cooked.name
item.minecraft.tropical_fish,item.fish.clownfish.raw.name
item.minecraft.pufferfish,item.fish.pufferfish.raw.name
block.minecraft.cake,item.cake.name
item.minecraft.cookie,item.cookie.name
block.minecraft.melon,tile.melon.name
item.minecraft.beef,item.beefRaw.name
item.minecraft.cooked_beef,item.beefCooked.name
item.minecraft.chicken,item.chickenRaw.name
item.minecraft.cooked_chicken,item.chickenCooked.name
item.minecraft.rotten_flesh,item.rottenFlesh.name
item.minecraft.spider_eye,item.spiderEye.name
item.minecraft.carrot,item.carrots.name
item.minecraft.golden_carrot,item.carrotGolden.name
item.minecraft.potato,item.potato.name
item.minecraft.baked_potato,item.potatoBaked.name
item.minecraft.poisonous_potato,item.potatoPoisonous.name
item.minecraft.pumpkin_pie,item.pumpkinPie.name
item.minecraft.rabbit,item.rabbitRaw.name
item.minecraft.cooked_rabbit,item.rabbitCooked.name
item.minecraft.mutton,item.muttonRaw.name
item.minecraft.cooked_mutton,item.muttonCooked.name




















































